"","Home","X","Y","Visitor","Local"
"157","FLA",1,1,"BGT",1
"158","GOI",1,1,"BAH",1
"159","VAS",0,0,"FOR",1
"160","CEA",1,1,"SAO",1
"161","FLU",2,2,"CEA",0
"162","CFC",1,2,"SAN",1
"163","ACG",1,1,"CAP",0
"164","SAO",0,0,"GRE",1
"165","COR",1,5,"FLA",1
"166","INT",2,0,"VAS",1
"167","BGT",2,0,"SPT",1
"168","FOR",2,0,"PAL",1
"169","BOT",0,0,"GOI",1
"170","BAH",3,1,"CAM",0
"171","VAS",1,2,"COR",1
"172","BGT",2,0,"GOI",1
"173","CEA",2,1,"CFC",1
"174","CAM",0,0,"SPT",1
"175","FLU",3,1,"SAN",0
"176","ACG",0,3,"PAL",0
"177","INT",2,2,"FLA",1
"178","CAP",1,2,"GRE",1
"179","BAH",2,1,"FOR",1
"180","SAO",4,0,"BOT",1
"181","BOT",2,2,"CEA",1
"182","COR",1,0,"INT",1
"183","CFC",1,0,"ACG",1
"184","FOR",0,1,"FLU",1
"185","FLA",1,4,"SAO",1
"186","SPT",1,0,"CAP",1
"187","SAN",3,1,"BAH",1
"188","GOI",1,1,"VAS",1
"189","PAL",3,0,"CAM",1
"190","GRE",2,1,"BGT",1
"191","CAP",2,1,"FOR",1
"192","SAO",2,1,"GOI",1
"193","ACG",1,1,"COR",0
"194","VAS",0,1,"PAL",1
"195","INT",2,2,"CFC",1
"196","BGT",1,1,"SAN",1
"197","CAM",4,0,"FLA",1
"198","BAH",1,0,"BOT",1
"199","FLU",0,1,"GRE",0
"200","CEA",0,0,"SPT",1
"201","SAN",2,0,"INT",1
"202","SPT",0,2,"VAS",1
"203","GOI",0,1,"CAP",1
"204","COR",1,2,"CAM",1
"205","GRE",4,2,"CEA",1
"206","FOR",2,3,"SAO",1
"207","FLA",1,1,"ACG",1
"208","PAL",2,0,"FLU",1
"209","CFC",1,2,"BAH",1
"210","BOT",1,2,"BGT",1
"211","BGT",4,0,"BAH",1
"212","FLA",3,1,"CFC",1
"213","CAP",1,0,"SAN",1
"214","GOI",1,0,"PAL",1
"215","SAO",1,1,"VAS",1
"216","CEA",2,2,"CAM",1
"217","BOT",1,2,"FOR",1
"218","INT",1,2,"FLU",1
"219","COR",0,0,"GRE",1
"220","SPT",0,1,"ACG",1
"221","CAM",2,1,"BOT",1
"222","CFC",0,1,"COR",1
"223","FOR",1,1,"GOI",1
"224","PAL",3,0,"CAP",1
"225","SAN",4,2,"SPT",1
"226","BAH",1,3,"SAO",1
"227","ACG",0,0,"INT",1
"228","VAS",1,4,"CEA",1
